	F1norm_rprr	col_release	datasetname	knownmodules	max_layers	method	precision	recall	recovery	relevance	row_release	runningtime
0	0.1927167785722963	0.0	ecoli_colombos	strict	50.0	plaid	0.0525519368786904	0.0006873125727657448	0.07456135013901162	0.04125144751761955	0.0	1069.749235868454
1	0.47111037083691243	0.0	ecoli_colombos	interconnected	50.0	plaid	0.06608720947699495	0.001373971299322405	0.10084186578360302	0.04679743906087797	0.0	1069.749235868454
2	1.0100853699434402	0.0	ecoli_colombos	minimal	50.0	plaid	0.08664053248662845	0.005661639116003477	0.14364003022150754	0.04170891211136103	0.0	1069.749235868454
3	0.7813248395079738	0.0	ecoli_colombos	strict	50.0	plaid	0.06869140029269694	0.0036599797084162482	0.1405470150185984	0.08694647642037959	0.25	948.9138469696045
4	1.1963081763116679	0.0	ecoli_colombos	interconnected	50.0	plaid	0.0652399216361181	0.004887379836249705	0.1341778167016682	0.08165435178721699	0.25	948.9138469696045
5	1.6870904229997274	0.0	ecoli_colombos	minimal	50.0	plaid	0.059097400144071666	0.012225586843109629	0.15260424488844052	0.0715434351301931	0.25	948.9138469696045
6	0.6829892738168959	0.0	ecoli_colombos	strict	50.0	plaid	0.016943527046229718	0.0046410800029683934	0.15617803794570193	0.046222130045690764	0.5	791.9792430400848
7	0.8854425243250785	0.0	ecoli_colombos	interconnected	50.0	plaid	0.013081044275777776	0.0044784719712336425	0.13669202735989863	0.052531123196915545	0.5	791.9792430400848
8	0.953603362832006	0.0	ecoli_colombos	minimal	50.0	plaid	0.010523015188084248	0.008038805558978374	0.1484935864634601	0.04316120914307316	0.5	791.9792430400848
9	0.0	0.0	ecoli_colombos	strict	50.0	plaid	0.0	0.0	0.0	0.0	0.75	91.78987884521484
10	0.0	0.0	ecoli_colombos	interconnected	50.0	plaid	0.0	0.0	0.0	0.0	0.75	91.78987884521484
11	0.0	0.0	ecoli_colombos	minimal	50.0	plaid	0.0	0.0	0.0	0.0	0.75	91.78987884521484
12	0.0	0.0	ecoli_colombos	strict	50.0	plaid	0.0	0.0	0.0	0.0	1.0	11.21190094947815
13	0.0	0.0	ecoli_colombos	interconnected	50.0	plaid	0.0	0.0	0.0	0.0	1.0	11.21190094947815
14	0.0	0.0	ecoli_colombos	minimal	50.0	plaid	0.0	0.0	0.0	0.0	1.0	11.21190094947815
15	0.2023648420003527	0.0	ecoli_colombos	strict	100.0	plaid	0.05706959278482719	0.0007158684682124646	0.08447880388438292	0.0440526505704755	0.0	994.2422571182251
16	0.4807347635779232	0.0	ecoli_colombos	interconnected	100.0	plaid	0.06526298531243353	0.0014010740718007667	0.10793539209921962	0.046962554381807055	0.0	994.2422571182251
17	1.093910343323509	0.0	ecoli_colombos	minimal	100.0	plaid	0.08737276782145705	0.006410343666907104	0.1520659238291317	0.04367498340748276	0.0	994.2422571182251
18	0.44620061298016844	0.0	ecoli_colombos	strict	100.0	plaid	0.06515940324322793	0.001850427011381943	0.09758892401867279	0.06261940206163624	0.25	919.3594899177551
19	0.8309000940674186	0.0	ecoli_colombos	interconnected	100.0	plaid	0.08081591696319024	0.002871152126521257	0.12335068434061125	0.06335207567805748	0.25	919.3594899177551
20	1.4869991612524112	0.0	ecoli_colombos	minimal	100.0	plaid	0.08935879752947766	0.010073716833066307	0.16367443098811466	0.057470345634769895	0.25	919.3594899177551
21	0.5876387926482025	0.0	ecoli_colombos	strict	100.0	plaid	0.0074587308660146795	0.005912206999652474	0.21220238095238098	0.03353046222655691	0.5	331.26719307899475
