	F1norm_rprr	datasetname	knownmodules	method	n	ngenes	precision	recall	recovery	relevance	runningtime
0	1.3693966359793823	ecoli_colombos	strict	spectral_biclust	10	10	0.06648198823586784	0.008404132216029685	0.20315875907479194	0.10622616514863772	6.282142877578735
1	1.8635553338805233	ecoli_colombos	minimal	spectral_biclust	10	10	0.03555737012894191	0.014492263704343799	0.19279876871473745	0.0813783856674306	6.282142877578735
2	1.6172627752673585	ecoli_colombos	interconnected	spectral_biclust	10	10	0.04823063901959552	0.00787107631580523	0.18451479914980312	0.0937530234805256	6.282142877578735
3	2.210733597158729	ecoli_colombos	strict	spectral_biclust	10	20	0.08898128422834448	0.018748795881420623	0.21548883829988624	0.15360111095650672	6.836870193481445
4	2.322524115285618	ecoli_colombos	minimal	spectral_biclust	10	20	0.03348740868302749	0.022798717641483245	0.17262412674335398	0.11315678952940916	6.836870193481445
5	2.3712647381793164	ecoli_colombos	interconnected	spectral_biclust	10	20	0.05790132943697854	0.015439831576719744	0.17836870656000178	0.13754096070833002	6.836870193481445
6	3.7527882615731736	ecoli_colombos	strict	spectral_biclust	10	50	0.13610690861177968	0.039142623212134964	0.2803962109678841	0.27504732961199874	8.702631950378418
7	2.749389880873857	ecoli_colombos	minimal	spectral_biclust	10	50	0.030594896702211806	0.030712305834389476	0.16599171801252322	0.16914149696513653	8.702631950378418
8	3.033879951442835	ecoli_colombos	interconnected	spectral_biclust	10	50	0.057713026322584876	0.02286041877662761	0.18442616657442876	0.20189762736267836	8.702631950378418
9	4.948944245717016	ecoli_colombos	strict	spectral_biclust	10	100	0.1602823009450877	0.05421774653911661	0.36695113723429623	0.3612267126021328	12.266983985900879
10	3.129768646748768	ecoli_colombos	minimal	spectral_biclust	10	100	0.03186450941317471	0.0393223035032992	0.172462198968958	0.2100360756851096	12.266983985900879
11	3.318254925470607	ecoli_colombos	interconnected	spectral_biclust	10	100	0.05470751194586411	0.026742775658330362	0.1902270546753893	0.23550254579435995	12.266983985900879
12	4.863055253949726	ecoli_colombos	strict	spectral_biclust	10	200	0.13232854336453329	0.05046261587837872	0.43037830410542083	0.3344888084578181	18.88214612007141
13	3.192774457445886	ecoli_colombos	minimal	spectral_biclust	10	200	0.026532720889160786	0.04269672793984325	0.1933845658592505	0.2271001898015332	18.88214612007141
14	3.133330026229116	ecoli_colombos	interconnected	spectral_biclust	10	200	0.039616075704281724	0.023781354650596855	0.21954061603161917	0.2145016619354638	18.88214612007141
15	4.587956491000879	ecoli_colombos	strict	spectral_biclust	10	300	0.11842543974752531	0.04525002148817197	0.4884427254567919	0.2944255556743658	25.50494909286499
