	F1norm_rprr	TOMDenom	datasetname	deepSplit	detectCutHeight	knownmodules	mergeCutHeight	method	minModuleSize	power	precision	reassignThreshold	recall	recovery	relevance	runningtime
0	5.046787425855497	min	ecoli_colombos	2	0.995	strict	0.05	wgcna	5	1.0	0.13495525002645276	1e-06	0.12146791100496117	0.4297072962909891	0.24305002715423424	117.84876894950867
1	3.4092097366372927	min	ecoli_colombos	2	0.995	minimal	0.05	wgcna	5	1.0	0.032890799962356554	1e-06	0.06253428550785042	0.24154351987733488	0.15675633120176674	117.84876894950867
2	4.082274309703352	min	ecoli_colombos	2	0.995	interconnected	0.05	wgcna	5	1.0	0.060601559074915774	1e-06	0.0685335237919202	0.2602240658246928	0.18799672563685116	117.84876894950867
3	6.667624020623443	min	ecoli_colombos	2	0.995	strict	0.05	wgcna	5	2.0	0.2103458227186037	1e-06	0.18945827817511351	0.4641124464847407	0.339745695770793	125.86047005653381
4	4.974242905828374	min	ecoli_colombos	2	0.995	minimal	0.05	wgcna	5	2.0	0.050738329622891556	1e-06	0.10755116113287129	0.3219579987420144	0.2220040010177795	125.86047005653381
5	4.981868298993093	min	ecoli_colombos	2	0.995	interconnected	0.05	wgcna	5	2.0	0.0855085994327235	1e-06	0.10134397817143796	0.2871196284474137	0.22610693833930923	125.86047005653381
6	9.208125780350887	min	ecoli_colombos	2	0.995	strict	0.05	wgcna	5	3.0	0.2845988655239067	1e-06	0.2860493796296796	0.5719634318138507	0.5064843468853514	126.6759660243988
7	6.212093476267121	min	ecoli_colombos	2	0.995	minimal	0.05	wgcna	5	3.0	0.06116219272315077	1e-06	0.1478430254452187	0.35451702481536573	0.3039420452024783	126.6759660243988
8	6.494686975789281	min	ecoli_colombos	2	0.995	interconnected	0.05	wgcna	5	3.0	0.10840436456302124	1e-06	0.14349418153880414	0.3426513992682562	0.314362892359578	126.6759660243988
9	9.289332501440775	min	ecoli_colombos	2	0.995	strict	0.05	wgcna	5	4.0	0.2656798942566536	1e-06	0.27996939781596447	0.5863303785915722	0.516261351238112	121.13231492042542
10	6.091097100814231	min	ecoli_colombos	2	0.995	minimal	0.05	wgcna	5	4.0	0.054455830784434674	1e-06	0.148726226823711	0.35157688553808686	0.31536371050877154	121.13231492042542
11	6.124754713991963	min	ecoli_colombos	2	0.995	interconnected	0.05	wgcna	5	4.0	0.09293452588112225	1e-06	0.12996325723085322	0.3236791370122719	0.3078709767847928	121.13231492042542
