	F1norm_rprr	datasetname	k	knownmodules	method	precision	recall	recovery	relevance	runningtime	stdcutoff
0	0.061067839403134254	ecoli_colombos	25.0	strict	pca	0.04098460206668052	0.00019236129104771715	0.06404556223242609	0.030429755203782043	105.50864815711975	0.5
1	0.46099078171330643	ecoli_colombos	25.0	minimal	pca	0.0781163802755174	0.0016397463295159077	0.13867422511052338	0.032928131346943494	105.50864815711975	0.5
2	0.15008417386205317	ecoli_colombos	25.0	interconnected	pca	0.050734220961698925	0.00034693661905144606	0.08575186551093611	0.03490851567456478	105.50864815711975	0.5
3	0.26952750834597106	ecoli_colombos	25.0	strict	pca	0.06391554182777194	0.0009984083772669363	0.08569045034717371	0.05058735363226755	106.31912207603455	1.0
4	1.123535757782567	ecoli_colombos	25.0	minimal	pca	0.0934496048842466	0.006529351571308446	0.13223591034699342	0.04758240595892053	106.31912207603455	1.0
5	0.5378782016013779	ecoli_colombos	25.0	interconnected	pca	0.07156208716272489	0.0016103081967216047	0.10133726651755148	0.05226229172703599	106.31912207603455	1.0
6	0.7732345322435468	ecoli_colombos	25.0	strict	pca	0.06571961151104995	0.0038475884854357965	0.1237500691623575	0.07898831308937258	106.922119140625	1.5
7	1.6266943655309656	ecoli_colombos	25.0	minimal	pca	0.06078812468834344	0.014581936781827955	0.1256868496668611	0.06317623308257515	106.922119140625	1.5
8	1.1304641756690674	ecoli_colombos	25.0	interconnected	pca	0.05787245369033501	0.004928057935209974	0.11699513239624139	0.0736684855268659	106.922119140625	1.5
9	1.6254658517320622	ecoli_colombos	25.0	strict	pca	0.054764338503317155	0.013743203225997758	0.1676427021410168	0.11354002007491355	105.17834115028381	2.0
10	1.7306475714212128	ecoli_colombos	25.0	minimal	pca	0.023159815323162275	0.01967204738653658	0.12559682981075732	0.08077667508679462	105.17834115028381	2.0
11	1.738318480803742	ecoli_colombos	25.0	interconnected	pca	0.033532972556667325	0.011892649843668241	0.1341549883988092	0.10092173162023131	105.17834115028381	2.0
12	1.6800407262596326	ecoli_colombos	25.0	strict	pca	0.02530449174118609	0.019239172894016974	0.1951411683019153	0.1143332148121504	106.09654211997986	2.5
13	1.0710889999472057	ecoli_colombos	25.0	minimal	pca	0.006376846418959052	0.01391135654358364	0.1187848904686502	0.07439740003580451	106.09654211997986	2.5
