	F1norm_rprr	datasetname	k	knownmodules	method	precision	recall	recovery	relevance	runningtime	simdist_function
0	3.164917322527307	ecoli_colombos	25.0	minimal	kmedoids	0.043084252818476346	0.07017428388968625	0.20109780502658203	0.12264873477671338	47.495980978012085	pearson_correlation
1	3.662257537556272	ecoli_colombos	25.0	interconnected	kmedoids	0.07047382847968192	0.06326307907799944	0.21533093312049034	0.165495280015581	47.495980978012085	pearson_correlation
2	3.506548468495692	ecoli_colombos	25.0	strict	kmedoids	0.11439249894917307	0.07453575325238984	0.2511858222792754	0.18750421979591103	47.495980978012085	pearson_correlation
3	4.482543503405978	ecoli_colombos	50.0	minimal	kmedoids	0.04789257374790029	0.10264757500024767	0.2548767831872793	0.2106529436700881	190.2626600265503	pearson_correlation
4	5.115141255955369	ecoli_colombos	50.0	interconnected	kmedoids	0.09044344234727203	0.10750720635106858	0.26242236850942	0.2528776303083115	190.2626600265503	pearson_correlation
5	6.239422892476793	ecoli_colombos	50.0	strict	kmedoids	0.19899995183791191	0.17204699827544112	0.39669739954485295	0.3433375679664354	190.2626600265503	pearson_correlation
6	5.669351326114058	ecoli_colombos	75.0	minimal	kmedoids	0.05808819105815059	0.14097130728349017	0.2901656101377107	0.29446068050464824	192.33899188041687	pearson_correlation
7	5.767189901965691	ecoli_colombos	75.0	interconnected	kmedoids	0.1021089992832653	0.1351693423844291	0.26798850452712675	0.30827696567861823	192.33899188041687	pearson_correlation
8	8.045843058854233	ecoli_colombos	75.0	strict	kmedoids	0.25709254237007734	0.2496356881507107	0.4765340554261023	0.45922118520827976	192.33899188041687	pearson_correlation
9	6.292154770509524	ecoli_colombos	100.0	minimal	kmedoids	0.06757010746033326	0.1666466887323514	0.30038823590594016	0.33394536731545255	368.8579180240631	pearson_correlation
10	6.566743021298991	ecoli_colombos	100.0	interconnected	kmedoids	0.11890908295825361	0.16463982190717782	0.2905528738950004	0.3640487521741022	368.8579180240631	pearson_correlation
11	8.663151083018622	ecoli_colombos	100.0	strict	kmedoids	0.27404072324151674	0.28796188790798616	0.5079700814179872	0.49291427878348804	368.8579180240631	pearson_correlation
12	6.493922753192568	ecoli_colombos	125.0	minimal	kmedoids	0.06952200371199753	0.17317804813268994	0.3053063614711802	0.35074040807631085	604.4723620414734	pearson_correlation
13	6.714580486594202	ecoli_colombos	125.0	interconnected	kmedoids	0.11671286201568522	0.16998250967687975	0.297051943365451	0.37638273586090387	604.4723620414734	pearson_correlation
14	9.43226204350329	ecoli_colombos	125.0	strict	kmedoids	0.295355289929388	0.3213232028363404	0.5418732489864669	0.5460696638965974	604.4723620414734	pearson_correlation
15	6.629522321592471	ecoli_colombos	150.0	minimal	kmedoids	0.06662320753487967	0.1760242735125756	0.32040226479207085	0.3643510566103597	600.0336360931396	pearson_correlation
16	6.867102312988872	ecoli_colombos	150.0	interconnected	kmedoids	0.11613108009570766	0.17371020582312205	0.30631900602728196	0.3844995134710618	600.0336360931396	pearson_correlation
17	9.41575843437547	ecoli_colombos	150.0	strict	kmedoids	0.29048738640531985	0.32048501640219584	0.5428002116687235	0.5451725282118711	600.0336360931396	pearson_correlation
18	6.81822228269198	ecoli_colombos	175.0	minimal	kmedoids	0.06940523498337293	0.18705902918868794	0.32338887150116896	0.37545916138233704	773.1573491096497	pearson_correlation
19	6.959439741718066	ecoli_colombos	175.0	interconnected	kmedoids	0.114884757686299	0.17771442138404203	0.30896098083581564	0.3944424213853608	773.1573491096497	pearson_correlation
20	10.057684042395788	ecoli_colombos	175.0	strict	kmedoids	0.30390513839509026	0.3439640387857123	0.5779904174911635	0.5864572510454003	773.1573491096497	pearson_correlation
