	F1norm_rprr	datasetname	k	knownmodules	linkage	method	precision	recall	recovery	relevance	runningtime	simdist_function
0	4.168964292506959	ecoli_colombos	25.0	strict	ward.D	agglom	0.1330513215594216	0.10009772622907284	0.3057609560404896	0.212621975340455	40.54066610336304	pearson_correlation
1	3.7480338649391767	ecoli_colombos	25.0	minimal	ward.D	agglom	0.04851234128764847	0.08442631836067255	0.2113368488052154	0.16038976954954448	40.54066610336304	pearson_correlation
2	4.0884262332309	ecoli_colombos	25.0	interconnected	ward.D	agglom	0.08241908126248379	0.0742274710137777	0.23745008261650416	0.18216302977181048	40.54066610336304	pearson_correlation
3	0.2772044120492327	ecoli_colombos	25.0	strict	single	agglom	0.027107595847672018	0.0015698658426636855	0.05758157389635317	0.0192276579363746	35.21027684211731	pearson_correlation
4	0.9271799078245077	ecoli_colombos	25.0	minimal	single	agglom	0.06028411189900754	0.01271672344769794	0.14385150812064965	0.023525472653453873	35.21027684211731	pearson_correlation
5	0.5430509488804882	ecoli_colombos	25.0	interconnected	single	agglom	0.03585180158609598	0.002884223499659855	0.07974481658692185	0.023802183840858804	35.21027684211731	pearson_correlation
6	4.3595829177437455	ecoli_colombos	25.0	strict	complete	agglom	0.1388860714688457	0.101531990142769	0.33804522744120896	0.21603001753063975	32.33020901679993	pearson_correlation
7	3.2797352701197315	ecoli_colombos	25.0	minimal	complete	agglom	0.04005757140580772	0.057960319945712456	0.2139364238352025	0.14041453810057547	32.33020901679993	pearson_correlation
8	4.084456177920867	ecoli_colombos	25.0	interconnected	complete	agglom	0.07583822199090078	0.06604759910982196	0.2553616468931794	0.18114750046184472	32.33020901679993	pearson_correlation
9	2.343423515128471	ecoli_colombos	25.0	strict	average	agglom	0.07295239699118125	0.033268172254389584	0.28300829813304795	0.109904947607495	35.21705389022827	pearson_correlation
10	3.1579328063279335	ecoli_colombos	25.0	minimal	average	agglom	0.04938011835962297	0.05331531552729717	0.25234376493760374	0.11136270184046466	35.21705389022827	pearson_correlation
11	3.0833006225848796	ecoli_colombos	25.0	interconnected	average	agglom	0.06892684409384177	0.0406541705163454	0.22743944282066	0.12590875077797165	35.21705389022827	pearson_correlation
12	3.8735576110594545	ecoli_colombos	25.0	strict	mcquitty	agglom	0.12030819867259629	0.08396896308229773	0.33636678352855504	0.1838488100392684	31.56652307510376	pearson_correlation
13	3.5699492347033797	ecoli_colombos	25.0	minimal	mcquitty	agglom	0.05311009384998592	0.06618414172167968	0.23764484280924805	0.13654384302515052	31.56652307510376	pearson_correlation
14	3.820366174197848	ecoli_colombos	25.0	interconnected	mcquitty	agglom	0.0808957166615994	0.06542786565544634	0.2685604657796976	0.1507689866879669	31.56652307510376	pearson_correlation
