	F1norm_rprr	datasetname	k	knownmodules	method	precision	qvalcutoff	recall	recovery	relevance	runningtime
0	2.2234776091732047	ecoli_colombos	50.0	strict	ipca	0.09798073340382583	0.1	0.02062838899117416	0.17923754479281775	0.16162161427782692	120.13651514053345
1	2.5645665718981783	ecoli_colombos	50.0	minimal	ipca	0.056325087114379016	0.1	0.029187715742558924	0.14628345641148358	0.11722152816770387	120.13651514053345
2	2.459090520646549	ecoli_colombos	50.0	interconnected	ipca	0.06684608491477619	0.1	0.02005316279025713	0.14707741950982997	0.14145794422104893	120.13651514053345
3	3.208631370260378	ecoli_colombos	50.0	strict	ipca	0.10748839665790774	0.01	0.04114708829920914	0.25806874388595136	0.1942461540603448	122.13966798782349
4	3.1123680651308456	ecoli_colombos	50.0	minimal	ipca	0.044517205245863216	0.01	0.049491466015151246	0.18043252099668747	0.1398748793292267	122.13966798782349
5	3.213792862235157	ecoli_colombos	50.0	interconnected	ipca	0.05982471254411111	0.01	0.03665515497713307	0.1924239498674422	0.16710630670098248	122.13966798782349
6	3.786689612976509	ecoli_colombos	50.0	strict	ipca	0.10613113200050912	0.001	0.060961850450820365	0.3273214734391504	0.20337550109713684	123.18086910247803
7	3.528958305265024	ecoli_colombos	50.0	minimal	ipca	0.04119995170319227	0.001	0.06412181635082426	0.23034586102800733	0.1531080640384512	123.18086910247803
8	3.8425265931927135	ecoli_colombos	50.0	interconnected	ipca	0.058897141118762195	0.001	0.0518028786785861	0.25135961255329764	0.18432350804925737	123.18086910247803
9	3.8648809573173675	ecoli_colombos	50.0	strict	ipca	0.10543213809445354	0.0001	0.07144209895448847	0.33083900211751877	0.1995020369158284	113.40907311439514
10	3.499409142606071	ecoli_colombos	50.0	minimal	ipca	0.03650681377769198	0.0001	0.06925534592496692	0.24399975686339448	0.15076730600732502	113.40907311439514
11	4.069916403398244	ecoli_colombos	50.0	interconnected	ipca	0.0583716348649149	0.0001	0.06129349453508423	0.26661944119680664	0.19194886624779317	113.40907311439514
12	4.206279636439365	ecoli_colombos	50.0	strict	ipca	0.10573984884237678	1e-05	0.08445905812364378	0.4066366961284399	0.20168269306457007	122.7274329662323
13	3.3334284352412156	ecoli_colombos	50.0	minimal	ipca	0.031150898983015714	1e-05	0.06784153274898751	0.24873898202667324	0.14651300995520103	122.7274329662323
14	3.836036293808424	ecoli_colombos	50.0	interconnected	ipca	0.051815177073539435	1e-05	0.06082164036787438	0.2740724914241178	0.1714722782304471	122.7274329662323
