	F1norm_rprr	datasetname	knownmodules	method	precision	q	recall	recovery	relevance	runningtime	tolerance
0	0.0	ecoli_colombos	strict	qubic	0.0	0.01	0.0	0.0	0.0	34.97696399688721	0.3
1	0.0	ecoli_colombos	minimal	qubic	0.0	0.01	0.0	0.0	0.0	34.97696399688721	0.3
2	0.0	ecoli_colombos	interconnected	qubic	0.0	0.01	0.0	0.0	0.0	34.97696399688721	0.3
3	0.0	ecoli_colombos	strict	qubic	0.0	0.01	0.0	0.0	0.0	32.70146083831787	0.4
4	0.0	ecoli_colombos	minimal	qubic	0.0	0.01	0.0	0.0	0.0	32.70146083831787	0.4
5	0.0	ecoli_colombos	interconnected	qubic	0.0	0.01	0.0	0.0	0.0	32.70146083831787	0.4
6	0.0	ecoli_colombos	strict	qubic	0.0	0.01	0.0	0.0	0.0	36.394474029541016	0.5
7	0.0	ecoli_colombos	minimal	qubic	0.0	0.01	0.0	0.0	0.0	36.394474029541016	0.5
8	0.0	ecoli_colombos	interconnected	qubic	0.0	0.01	0.0	0.0	0.0	36.394474029541016	0.5
9	0.0	ecoli_colombos	strict	qubic	0.0	0.01	0.0	0.0	0.0	35.297096967697144	0.6000000000000001
10	0.0	ecoli_colombos	minimal	qubic	0.0	0.01	0.0	0.0	0.0	35.297096967697144	0.6000000000000001
11	0.0	ecoli_colombos	interconnected	qubic	0.0	0.01	0.0	0.0	0.0	35.297096967697144	0.6000000000000001
12	0.0	ecoli_colombos	strict	qubic	0.0	0.01	0.0	0.0	0.0	34.203943967819214	0.7000000000000002
13	0.0	ecoli_colombos	minimal	qubic	0.0	0.01	0.0	0.0	0.0	34.203943967819214	0.7000000000000002
14	0.0	ecoli_colombos	interconnected	qubic	0.0	0.01	0.0	0.0	0.0	34.203943967819214	0.7000000000000002
15	0.0	ecoli_colombos	strict	qubic	0.0	0.01	0.0	0.0	0.0	34.79624700546265	0.8000000000000003
16	0.0	ecoli_colombos	minimal	qubic	0.0	0.01	0.0	0.0	0.0	34.79624700546265	0.8000000000000003
17	0.0	ecoli_colombos	interconnected	qubic	0.0	0.01	0.0	0.0	0.0	34.79624700546265	0.8000000000000003
18	0.0	ecoli_colombos	strict	qubic	0.0	0.01	0.0	0.0	0.0	34.88017392158508	0.9000000000000001
19	0.0	ecoli_colombos	minimal	qubic	0.0	0.01	0.0	0.0	0.0	34.88017392158508	0.9000000000000001
20	0.0	ecoli_colombos	interconnected	qubic	0.0	0.01	0.0	0.0	0.0	34.88017392158508	0.9000000000000001
